Number,MSE
1042,0.260524
1043,0.260514
1044,0.260505
1045,0.260495
1046,0.260486
1047,0.260476
1048,0.260467
1049,0.260457
1050,0.260448
1051,0.260438
1052,0.260428
1053,0.260419
1054,0.260409
1055,0.260400
1056,0.260390
1057,0.260381
1058,0.260372
1059,0.260362
1060,0.260353
1061,0.260343
1062,0.260334
1063,0.260325
1064,0.260315
1065,0.260306
1066,0.260296
1067,0.260287
1068,0.260278
1069,0.260268
1070,0.260259
1071,0.260250
1072,0.260241
1073,0.260231
1074,0.260222
1075,0.260213
1076,0.260204
1077,0.260194
1078,0.260185
1079,0.260176
1080,0.260167
1081,0.260158
1082,0.260148
1083,0.260139
1084,0.260130
1085,0.260121
1086,0.260112
1087,0.260103
1088,0.260093
1089,0.260084
1090,0.260075
1091,0.260066
1092,0.260057
1093,0.260048
1094,0.260039
1095,0.260029
1096,0.260020
1097,0.260011
1098,0.260002
1099,0.259993
1100,0.259984
1101,0.259975
1102,0.259966
1103,0.259957
1104,0.259948
1105,0.259939
1106,0.259930
1107,0.259921
1108,0.259912
1109,0.259902
1110,0.259893
1111,0.259884
1112,0.259875
1113,0.259866
1114,0.259857
1115,0.259848
1116,0.259839
1117,0.259830
1118,0.259821
1119,0.259812
1120,0.259803
1121,0.259794
1122,0.259785
1123,0.259776
1124,0.259767
1125,0.259758
1126,0.259749
1127,0.259740
1128,0.259731
1129,0.259722
1130,0.259713
1131,0.259704
1132,0.259694
1133,0.259685
1134,0.259676
1135,0.259667
1136,0.259658
1137,0.259649
1138,0.259640
1139,0.259631
1140,0.259622
1141,0.259613
1142,0.259604
1143,0.259595
1144,0.259585
1145,0.259576
1146,0.259567
1147,0.259558
1148,0.259549
1149,0.259540
1150,0.259530
1151,0.259521
1152,0.259512
1153,0.259503
1154,0.259493
1155,0.259484
1156,0.259475
1157,0.259465
1158,0.259456
1159,0.259447
1160,0.259438
1161,0.259428
1162,0.259419
1163,0.259409
1164,0.259400
1165,0.259391
1166,0.259381
1167,0.259372
1168,0.259362
1169,0.259353
1170,0.259343
1171,0.259334
1172,0.259324
1173,0.259315
1174,0.259305
1175,0.259295
1176,0.259286
1177,0.259276
1178,0.259266
1179,0.259257
1180,0.259247
1181,0.259237
1182,0.259227
1183,0.259217
1184,0.259208
1185,0.259198
1186,0.259188
1187,0.259178
1188,0.259168
1189,0.259158
1190,0.259148
1191,0.259138
1192,0.259127
1193,0.259117
1194,0.259107
1195,0.259097
1196,0.259087
1197,0.259076
1198,0.259066
1199,0.259055
1200,0.259045
1201,0.259034
1202,0.259024
1203,0.259013
1204,0.259003
1205,0.258992
1206,0.258981
1207,0.258971
1208,0.258960
1209,0.258949
1210,0.258938
1211,0.258927
1212,0.258916
1213,0.258905
1214,0.258894
1215,0.258882
1216,0.258871
1217,0.258860
1218,0.258849
1219,0.258837
1220,0.258826
1221,0.258814
1222,0.258802
1223,0.258791
1224,0.258779
1225,0.258767
1226,0.258755
1227,0.258744
1228,0.258732
1229,0.258720
1230,0.258707
1231,0.258695
1232,0.258683
1233,0.258671
1234,0.258658
